;dossier;arrondissement;adresse;lieu;libelle_type_objet;dima;dimb;dosred;Coordonnées
7634;732 437 187 003;75019;187 RUE DE CRIMEE;A;TERRASSE OUVERTE;1.18;11.0;SARL CHAMROEUN  CRIMEE  (RESTAURANT);48.890862, 2.376474
7636;732 437 191 002;75019;191 RUE DE CRIMEE;A;TERRASSE OUVERTE;1.1;4.0;SARL ALTO UNO  (RESTAURATION RAPIDE - SNACK);48.891024, 2.376153
7637;732 437 197 002;75019;197 RUE DE CRIMEE;A;TERRASSE OUVERTE;0.8;6.0;SARL ERSAR  (RESTAURATION RAPIDE - SNACK);48.891314, 2.375833
7640;732 437 235 002;75019;235 RUE DE CRIMEE;A;TERRASSE OUVERTE;1.1;6.7;SARL CAFE LE JSK  (RESTAURANT);48.893309, 2.373632
7646;733 673 048 003;75019;48 AVENUE DE FLANDRE;A;TERRASSE OUVERTE;1.2;7.56;SARL HOTEL DE FLANDRE  (RESTAURANT);48.887215, 2.372936
7647;733 673 052 004;75019;52 AVENUE DE FLANDRE;A;TERRASSE OUVERTE;1.2;3.5;SARL UMUT  (RESTAURANT);48.887492, 2.373271
7649;733 673 062 002;75019;Pan coupé 62 AVENUE DE FLANDRE / 19 RUE RICQUET;A;TERRASSE OUVERTE;0.8;6.5;SARL BAR DU METRO  (BAR RESTAURANT);48.88538, 2.370028
7651;733 673 078 005;75019;78 AVENUE DE FLANDRE;A;TERRASSE OUVERTE;1.3;10.75;M LOUNIS  (RESTAURANT);48.889364, 2.375564
7661;734 810 011 004;75019;11 AVENUE JEAN JAURES;A;TERRASSE FERMEE;2.5;5.9;SARL OKAN  (RESTAURANT);48.883392, 2.371932
7663;734 810 021 002;75019;21 AVENUE JEAN JAURES;A;TERRASSE OUVERTE;2.3;3.7;SARL XIAN DUO  (RESTAURATION RAPIDE - SNACK);48.883691, 2.37307
7664;734 810 036 002;75019;36 AVENUE JEAN JAURES;A;TERRASSE OUVERTE;2.3;5.0;SARL ANITA  (RESTAURANT);48.883399, 2.373211
7665;734 810 040 004;75019;20 RUE LALLY TOLLENDAL;B;TERRASSE FERMEE;0.8;11.6;SARL LE CRISTAL  (RESTAURANT);48.883463, 2.373655
7668;734 810 079 002;75019;79 AVENUE JEAN JAURES;A;TERRASSE OUVERTE;3.1;4.25;_ET SALEMI  (RESTAURANT);48.885082, 2.378372
7669;734 810 080 004;75019;80 AVENUE JEAN JAURES;A;TERRASSE OUVERTE;0.8;3.0;SARL LUCKY CLAIRE SARL  (RESTAURATION RAPIDE - SNACK);48.884701, 2.378155
7670;734 810 095 002;75019;95 AVENUE JEAN JAURES;A;TERRASSE FERMEE;2.5;6.25;SARL PIZZA CAPRI  (RESTAURANT);48.885478, 2.38011
7678;735 671 014 002;75019;14 QUAI DE LA LOIRE;A;TERRASSE OUVERTE;0.6;6.2;SARL BARYE  (BAR RESTAURANT);48.88378, 2.371793
7685;738 527 031 003;75019;53 RUE DE MEAUX;B;TERRASSE OUVERTE;0.6;1.6;SARL BRASSERIE CARREFOUR SECRETAN  (BAR RESTAURANT);48.881331, 2.373258
7689;742 332 004 003;75019;4 AVENUE CORENTIN CARIOU;A;TERRASSE FERMEE;3.25;5.3;SARL MB  (RESTAURANT);48.894802, 2.382699
7690;742 332 004 003;75019;4 AVENUE CORENTIN CARIOU;A;TERRASSE OUVERTE;1.2;5.3;SARL MB  (RESTAURANT);48.894802, 2.382699
7691;742 332 017 003;75019;17 AVENUE DE CAMBRAI;A;TERRASSE OUVERTE;2.0;8.7;SARL PAGHI  (BAR RESTAURANT);48.894825, 2.378791
7692;742 332 041 003;75019;89 BOULEVARD MACDONALD;B;TERRASSE OUVERTE;0.9;8.0;_ET CASTANIER  (BAR RESTAURANT);48.898186, 2.385693
