;Unnamed: 0;dossier;arrondissement;adresse;lieu;libelle_type_objet;dima;dimb;dosred;Coordonnées;surface;libelle;nom
7167;2007;698 941 036 003;75018;Pan coupé 36 AVENUE DE SAINT OUEN / 21 RUE FAUVET;A;TERRASSE OUVERTE;1.5;0.68;SARL CHEZ WILLEM  (BRASSERIE);48.889386, 2.326397;1.02;BRASSERIE;SARL CHEZ WILLEM  
7168;2018;700 649 029 002;75018;29 BOULEVARD BARBES;A;TERRASSE FERMEE;1.25;4.12;M AOUDJHANE  (BRASSERIE);48.886736, 2.349335;5.15;BRASSERIE;M AOUDJHANE  
7169;2022;701 071 017 002;75018;Pan coupé 17 RUE BOINOD / 1 CITE TRAEGER;A;TERRASSE OUVERTE;0.6;2.2;SARL LA CASSEROLE  (BRASSERIE);48.893141, 2.350415;1.32;BRASSERIE;SARL LA CASSEROLE  
7170;2053;704 589 022 003;75018;5 RUE DES ABBESSES;B;TERRASSE OUVERTE;0.95;8.0;SARL CAFE SABRIER  (BRASSERIE);48.883859, 2.339203;7.6;BRASSERIE;SARL CAFE SABRIER  
7171;2058;705 921 073 002;75018;73 RUE MARCADET;A;TERRASSE OUVERTE;3.5;4.8;SARL KAHINA  (BRASSERIE);48.890202, 2.347574;16.8;BRASSERIE;SARL KAHINA  
7172;2063;706 392 079 003;75018;79 RUE DU MONT CENIS;A;TERRASSE FERMEE;1.4;10.1;SA ISAFERBA LE NORD SUD  (BRASSERIE);48.892679, 2.344294;14.14;BRASSERIE;SA ISAFERBA LE NORD SUD  
7173;2068;706 764 004 002;75018;PLACE DU TERTRE;A;CONTRE TERRASSE;4.0;17.5;EURL LE BISTRO DE LA PLACE  (BRASSERIE);48.88651, 2.340694;70.0;BRASSERIE;EURL LE BISTRO DE LA PLACE  
7174;2079;706 868 027 004;75018;27 BOULEVARD ORNANO;A;TERRASSE OUVERTE;1.15;4.5;SARL SOCIETE ORNANO  (BRASSERIE);48.893938, 2.347466;5.175;BRASSERIE;SARL SOCIETE ORNANO  
7175;2081;706 868 082 002;75018;Pan coupé 82 BOULEVARD ORNANO / 55 RUE BELLIARD;A;TERRASSE OUVERTE;0.6;3.0;SNC  BRASSERIE ROYAL CLIGNANCOURT  (BAR - CAFE - PUB);48.897434, 2.345043;1.8;BAR - CAFE - PUB;SNC  BRASSERIE ROYAL CLIGNANCOURT  
7176;2095;707 727 008 003;75018;8 RUE DU POTEAU;A;TERRASSE OUVERTE;0.9;5.2;SARL CAFFE POTEAU  (BRASSERIE);48.893012, 2.343536;4.68;BRASSERIE;SARL CAFFE POTEAU  
7177;2113;324 437 146 003;75008;146 BOULEVARD HAUSSMANN;A;TERRASSE FERMEE;1.2;6.2;SARL LE RELAIS HAUSSMANN  (BRASSERIE);48.875322, 2.312329;7.44;BRASSERIE;SARL LE RELAIS HAUSSMANN  
7178;2118;325 680 039 002;75008;Pan coupé  39 RUE DE LONDRES / IMPASSE D AMSTERDAM;A;TERRASSE FERMEE;2.25;4.4;SARL LE CADE  (BRASSERIE);48.879076, 2.326895;9.9;BRASSERIE;SARL LE CADE  
7179;2119;325 680 039 002;75008;Pan coupé  39 RUE DE LONDRES / IMPASSE D AMSTERDAM;A;TERRASSE OUVERTE;2.05;4.4;SARL LE CADE  (BRASSERIE);48.879076, 2.326895;9.02;BRASSERIE;SARL LE CADE  
7180;2138;328 771 006 002;75008;24 RUE DE LA PEPINIERE;B;TERRASSE FERMEE;0.75;5.25;SA BRASSERIE DE LA PEPINIERE  (BAR - CAFE - PUB);48.875131, 2.321418;3.9375;BAR - CAFE - PUB;SA BRASSERIE DE LA PEPINIERE  
7181;2139;328 771 007 002;75008;7 PLACE SAINT AUGUSTIN;A;TERRASSE FERMEE;1.55;4.65;SARL LCT  (BRASSERIE);48.875197, 2.319137;7.2075;BRASSERIE;SARL LCT  
7182;2140;328 771 007 002;75008;7 PLACE SAINT AUGUSTIN;A;TERRASSE OUVERTE;0.6;4.0;SARL LCT  (BRASSERIE);48.875197, 2.319137;2.4;BRASSERIE;SARL LCT  
7183;2152;330 296 004 003;75009;4 RUE D AMSTERDAM;A;TERRASSE FERMEE;0.75;6.35;M PRIVAT  (BRASSERIE);48.875943, 2.326959;4.7625;BRASSERIE;M PRIVAT  
7184;2153;331 019 055 005;75009;Pan coupé 55 RUE BLANCHE / 1 RUE BALLU;A;TERRASSE OUVERTE;0.8;8.6;SNC A.2.M.  (BRASSERIE);48.88144, 2.331554;6.88;BRASSERIE;SNC A.2.M.  
7185;2165;333 729 024 002;75009;24 RUE PIERRE FONTAINE;A;PLANCHER MOBILE;3.2;5.0;SARL LES 2 FRERES  (BRASSERIE);48.881868, 2.334045;16.0;BRASSERIE;SARL LES 2 FRERES  
7186;2180;337 440 013 002;75009;17 BOULEVARD DE CLICHY;B;TERRASSE FERMEE;0.9;7.64;SARL LES OMNIBUS  (BRASSERIE);48.882353, 2.336873;6.876;BRASSERIE;SARL LES OMNIBUS  
7187;2195;341 912 059 004;75009;59 RUE DE CHATEAUDUN;A;TERRASSE FERMEE;1.9;21.3;SA ROYAL TRINITE  (BRASSERIE);48.876205, 2.332307;40.47;BRASSERIE;SA ROYAL TRINITE  
7188;2196;341 912 059 004;75009;59 RUE DE CHATEAUDUN;A;TERRASSE OUVERTE;1.6;1.9;SA ROYAL TRINITE  (BRASSERIE);48.876205, 2.332307;3.04;BRASSERIE;SA ROYAL TRINITE  
7189;2197;341 912 059 004;75009;59 RUE DE CHATEAYDUN;A;TERRASSE OUVERTE;0.9;21.3;SA ROYAL TRINITE  (BRASSERIE);48.876205, 2.332307;19.17;BRASSERIE;SA ROYAL TRINITE  
7190;2214;738 527 031 003;75019;Pan coupé 31 AVENUE SECRETAN / 53 RUE DE MEAUX;A;TERRASSE FERMEE;1.0;2.7;SARL BRASSERIE CARREFOUR SECRETAN  (BAR RESTAURANT);48.881408, 2.373119;2.7;BAR RESTAURANT;SARL BRASSERIE CARREFOUR SECRETAN  
7191;2247;754 810 150 003;75019;150 AVENUE JEAN JAURES;A;TERRASSE OUVERTE;0.7;9.25;M LABDI  (BRASSERIE);48.887103, 2.38731;6.475;BRASSERIE;M LABDI  
7192;2260;760 419 001 003;75019;1 PLACE ARMAND CARREL;A;TERRASSE OUVERTE;0.9;1.6;SARL BRASSERIE NAPOLEON III  (RESTAURANT);48.882316, 2.381514;1.44;RESTAURANT;SARL BRASSERIE NAPOLEON III  
7193;2261;760 419 001 003;75019;71 RUE MANIN;B;TERRASSE FERMEE;2.6;12.05;SARL BRASSERIE NAPOLEON III  (RESTAURANT);48.882178, 2.381705;31.33;RESTAURANT;SARL BRASSERIE NAPOLEON III  
7194;2298;768 603 045 002;75019;45 AVENUE SIMON BOLIVAR;A;TERRASSE FERMEE;1.3;5.65;SARL LE BOLIVAR  (BRASSERIE);48.876083, 2.380401;7.345;BRASSERIE;SARL LE BOLIVAR  
7195;2306;198 929 097 002;75005;97 BOULEVARD SAINT MICHEL;A;TERRASSE OUVERTE;0.6;9.17;MME MISSOUM  (BRASSERIE);48.844402, 2.339458;5.502;BRASSERIE;MME MISSOUM  
7196;2316;202 541 002 002;75005;2 RUE DANTE;A;TERRASSE OUVERTE;1.02;9.0;ARL LE DANTE  (BRASSERIE);48.851464, 2.346961;9.18;BRASSERIE;ARL LE DANTE  
7197;2328;203 129 039 003;75005;39 RUE DES ECOLES;A;TERRASSE FERMEE;1.26;8.5;M MARTIN  (BRASSERIE);48.848852, 2.347225;10.71;BRASSERIE;M MARTIN  
7198;2332;204 789 021 002;75005;21 RUE JEAN DE BEAUVAIS;A;TERRASSE OUVERTE;0.65;3.3;M GUEMAT   (BRASSERIE);48.848944, 2.346622;2.145;BRASSERIE;M GUEMAT   
7199;2350;206 400 021 002;75005;Pan coupé 21 QUAI DE MONTBELLO / 1 RUE LAGRANGE;A;TERRASSE FERMEE;1.0;4.95;MME PANIS  (BRASSERIE);;4.95;BRASSERIE;MME PANIS  
7200;2373;208 932 001 002;75005;1 PLACE SAINT MICHEL;A;TERRASSE FERMEE;3.6;12.87;SA LE DEPART  (BRASSERIE);48.853665, 2.344303;46.332;BRASSERIE;SA LE DEPART  
7201;2374;208 932 001 002;75005;1 PLACE SAINT MICHEL;A;TERRASSE OUVERTE;3.6;6.75;SA LE DEPART  (BRASSERIE);48.853665, 2.344303;24.3;BRASSERIE;SA LE DEPART  
7202;2429;248 845 151 002;75006;151 BOULEVARD SAINT GERMAIN;A;TERRASSE FERMEE;2.3;7.5;SA BRASSERIE LIPP  (BRASSERIE);48.853775, 2.332416;17.25;BRASSERIE;SA BRASSERIE LIPP  
7203;2438;250 605 044 002;75007;44 RUE DU BAC;A;TERRASSE OUVERTE;0.9;4.8;SA GAYA RIVE GAUCHE  (BRASSERIE);48.856627, 2.32667;4.32;BRASSERIE;SA GAYA RIVE GAUCHE  
7204;2444;250 820 005 002;75007;Pan coupé 5 RUE DE BELLECHASSE / 79 RUE DE LILLE;A;COMMERCE ACCESSOIRE;1.0;1.5;MME POUGET  (BRASSERIE);48.859894, 2.324583;1.5;BRASSERIE;MME POUGET  
7205;2445;250 820 005 002;75007;Pan coupé 79 RUE DE LILLE / 5 RUE DE BELLECHASSE;B;COMMERCE ACCESSOIRE;1.0;1.5;MME POUGET  (BRASSERIE);48.859894, 2.324583;1.5;BRASSERIE;MME POUGET  
7206;2446;250 820 005 002;75007;79 RUE DE LILLE;B;TERRASSE OUVERTE;0.8;7.1;MME POUGET  (BRASSERIE);48.859311, 2.327016;5.68;BRASSERIE;MME POUGET  
7207;2455;258 845 188 002;75007;188 BOULEVARD SAINT GERMAIN;A;TERRASSE FERMEE;2.5;10.0;M BARRIE  (BRASSERIE);48.854646, 2.330355;25.0;BRASSERIE;M BARRIE  
7208;2486;273 053 039 003;75007;39 AVENUE DUQUESNE;A;TERRASSE FERMEE;1.1;6.5;SAS LESTAS DORE  (BRASSERIE);48.851402, 2.310955;7.15;BRASSERIE;SAS LESTAS DORE  
7209;2487;273 053 039 003;75007;Pan coupé 39 AVENUE DUQUESNE / RUE D ESTREES;A;TERRASSE OUVERTE;1.7;3.0;SAS LESTAS DORE  (BRASSERIE);48.851402, 2.310955;5.1;BRASSERIE;SAS LESTAS DORE  
7210;2490;274 009 014 002;75007;14 RUE DU GENERAL BERTRAND;A;TERRASSE OUVERTE;1.8;6.1;M LABORIE  (BRASSERIE);48.84785, 2.313128;10.98;BRASSERIE;M LABORIE  
